Match,Date,Innings,Over,Runs,Total.Runs,Innings.Total.Runs,Runs.Remaining,Total.Out,Innings.Total.Out,Outs.Remaining,Wickets.in.Hand,Run.Rate,Innings.Run.Rate,Run.Rate.Required,Initial.Run.Rate.Required,Target.Score,Day-night,At.Bat,Fielding,Home.Team,Away.Team,Stadium,Country,Total.Overs,Winning.Team,Toss.Winner,at.bat.wins,at.bat.won.toss,at.bat.at.home,at.bat.bat.first,chose_bat_1st,chose_bat_2nd,forced_bat_1st,forced_bat_2nd,new.game,Error.In.Data,common.support
65193,14/05/1999,2,24,5,91,207,116,1,2,1,9,3.791666667,4.14,4.384615385,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,25,10,101,207,106,1,2,1,9,4.04,4.14,4.16,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,26,4,105,207,102,1,2,1,9,4.038461538,4.14,4.166666667,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,27,5,110,207,97,1,2,1,9,4.074074074,4.14,4.130434783,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,28,3,113,207,94,1,2,1,9,4.035714286,4.14,4.181818182,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,29,2,115,207,92,1,2,1,9,3.965517241,4.14,4.285714286,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,30,8,123,207,84,1,2,1,9,4.1,4.14,4.1,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,31,3,126,207,81,1,2,1,9,4.064516129,4.14,4.157894737,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,32,6,132,207,75,1,2,1,9,4.125,4.14,4.055555556,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,33,5,137,207,70,1,2,1,9,4.151515152,4.14,4,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,34,5,142,207,65,1,2,1,9,4.176470588,4.14,3.9375,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,35,3,145,207,62,1,2,1,9,4.142857143,4.14,4,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,36,8,153,207,54,1,2,1,9,4.25,4.14,3.714285714,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,37,2,155,207,52,1,2,1,9,4.189189189,4.14,3.846153846,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,38,6,162,207,45,1,2,1,9,4.263157895,4.14,3.583333333,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,39,6,168,207,39,1,2,1,9,4.307692308,4.14,3.363636364,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,40,3,171,207,36,1,2,1,9,4.275,4.14,3.4,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,41,3,174,207,33,1,2,1,9,4.243902439,4.14,3.444444444,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,42,4,178,207,29,2,2,0,8,4.238095238,4.14,3.375,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,43,3,181,207,26,2,2,0,8,4.209302326,4.14,3.428571429,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,44,6,187,207,20,2,2,0,8,4.25,4.14,3,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,45,7,194,207,13,2,2,0,8,4.311111111,4.14,2.2,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,46,4,198,207,9,2,2,0,8,4.304347826,4.14,1.75,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,47,9,207,207,0,2,2,0,8,4.404255319,4.14,NA,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
